Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
BeeHiiv,"Kelly, Mackenzie",1499.35,11/05/2024,ENTITY,"228 Park Ave S, #29976","New York, NY, 10003",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Campaign Newsletter Subscription Service Fees,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00005,,,,,
Potomac Strategy Group,"Kelly, Mackenzie",19435.29,11/01/2024,ENTITY,"807 Brazos Street, #810","Austin, TX, 78701",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Direct Voter Outreach for campaign,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00003,,,,,
Frost Bank,"Kelly, Mackenzie",30.00,11/01/2024,ENTITY,10915 Pecan Park,"Austin, TX, 78750",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,FEES | Wire Fee to Potomac Strategy Group for Direct Voter Outreach for campaign,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00001,,,,,
CW Print Services,"Kelly, Mackenzie",600.00,11/05/2024,ENTITY,8222 N Lamar #E-44,"Austin, TX, 78753",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,PRINTING | Printing Expense,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00011,,,,,
Party City,"Kelly, Mackenzie",274.40,11/05/2024,ENTITY,11150 Research Blvd,"Austin, TX, 78759",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,OVERHEAD | Campaign Watch Day Party Supplies,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00008,,,,,
Taco Cabana,"Kelly, Mackenzie",50.60,10/28/2024,ENTITY,13376 Research Blvd,"Austin, TX, 78750",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Breakfast for volunteers for campaign,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00007,,,,,
Modern Cartographers,"Kelly, Mackenzie",700.00,11/05/2024,ENTITY,"703 Pier Avenue, Ste B373","Hermosa Beach, CA, 90254",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Direct Voter Outreach for campaign,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00006,,,,,
"Anedot, Inc","Kelly, Mackenzie",79.61,11/07/2024,ENTITY,"1340 Poydras Street, Suite 1770","New Orleans, LA, 70112",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,FEES | Campaign donation processing fees 10/27/2024-11/07/2024,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00002,,,,,
BeeHiiv,"Kelly, Mackenzie",149.00,10/28/2024,ENTITY,"228 Park Ave S, #29976","New York, NY, 10003",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,ADVERTISE | Newsletter distribution for campaign,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00010,,,,,
Reale's Italian Cafe,"Kelly, Mackenzie",54.35,11/05/2024,ENTITY,"13450 Research Blvd , Ste 230","Austin, TX, 78750",2024,Political Expenditure From Political Contributions,01/15/2025,COH: Candidate /Officeholder Campaign Finance Report,FOOD | Food for campaign volunteers,,,N,,View Report (https://services.austintexas.gov/edims/document.cfm?id=444137),R20241027100719319-F00009,,,,,
